question_ID,question,context1,context2,answer1,answer2,contradictType,samepassage,merged_context,ref_answer,WikipediaArticleTitle,url
241,Did the Spanish Empire have 59 dead and 64 wounded in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes,No,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",Yes|No,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
242,How many dead and prisoners did the Spanish Empire have in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",59 dead and 50 prisoners,10 dead and 47 prisoners,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",59 dead and 50 prisoners|10 dead and 47 prisoners,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
243,How many prisoners and wounded did the Spanish Empire have in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",50 prisoners and 64 wounded,47 prisoners and 17 wounded,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",50 prisoners and 64 wounded|47 prisoners and 17 wounded,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
234,How many dead did the Spanish Empire have in the Battle of Martín García?,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.","The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",59,10,Implicit (reasoning required),Different,"In the first and bloodiest day (10th March 1814) of the Combate of Martín García, Jacinto de Romarate (frigate captain of Spanish royalist forces) successfully repelled the enemy's (forces of the United Provinces of the Río de la Plata) attack. They had 45 dead and 50 wounded. At 5:00 pm on 11th March 1814, Jacinto de Romarate sent a note to the commander of the Montevideo garrison Miguel de la Sierra (Spanish royalist), informing he had few casualties, four dead and seven wounded, he had disembarked on the island and judged that, given the losses suffered, as soon as the patriot fleet was in condition it would retreat to Buenos Aires. On 15th March 1814, the royalists had 10 dead, 7 wounded and 50 prisoners.
The Spanish Empire had 10 dead, 47 prisoners and 17 wounded in the Battle of Martín García.",59|10,Battle of Martín García,https://en.wikipedia.org/wiki/Battle_of_Martín_García
245,Did Amanieu d'Albret participate in a papal conclave after 1503?,Amanieu d'Albret participated in the papal conclave of 1513 that elected Pope Leo X.,Amanieu d'Albret was one of the six cardinals who did not participate in the 1513 papal conclave.,Yes,No,Explicit,Different,"Amanieu d'Albret participated in the papal conclave of 1513 that elected Pope Leo X.
Amanieu d'Albret was one of the six cardinals who did not participate in the 1513 papal conclave.",Yes|No,Amanieu d'Albret,https://en.wikipedia.org/wiki/Amanieu_d'Albret
244,Did Amanieu d'Albret participate in the papal conclave of 1513?,Amanieu d'Albret participated in the papal conclave of 1513 that elected Pope Leo X.,Amanieu d'Albret was one of the six cardinals who did not participate in the 1513 papal conclave.,Yes,No,Explicit,Different,"Amanieu d'Albret participated in the papal conclave of 1513 that elected Pope Leo X.
Amanieu d'Albret was one of the six cardinals who did not participate in the 1513 papal conclave.",Yes|No,Amanieu d'Albret,https://en.wikipedia.org/wiki/Amanieu_d'Albret
247,Is Rakoti the Coptic name for Alexandria?,Alexandria (Coptic: Rakoti) is the second largest city in Egypt and the largest city on the Mediterranean coast.,"Rhakotis (from Coptic Rakotə, ""Alexandria"") was the old city that was absorbed into Alexandria.",Yes,No,Explicit,Different,"Alexandria (Coptic: Rakoti) is the second largest city in Egypt and the largest city on the Mediterranean coast.
Rhakotis (from Coptic Rakotə, ""Alexandria"") was the old city that was absorbed into Alexandria.",Yes|No,Alexandria,https://en.wikipedia.org/wiki/Alexandria
246,What is the Coptic name for Alexandria?,Alexandria (Coptic: Rakoti) is the second largest city in Egypt and the largest city on the Mediterranean coast.,"Rhakotis (from Coptic Rakotə, ""Alexandria"") was the old city that was absorbed into Alexandria.",Rakoti,Rhakotis,Explicit,Different,"Alexandria (Coptic: Rakoti) is the second largest city in Egypt and the largest city on the Mediterranean coast.
Rhakotis (from Coptic Rakotə, ""Alexandria"") was the old city that was absorbed into Alexandria.",Rakoti|Rhakotis,Alexandria,https://en.wikipedia.org/wiki/Alexandria
249,"Does the All Pakistan Federation of United Trade Unions have 652,723 members?","The All Pakistan Federation of United Trade Unions (APFUTU) is a national trade union centre in Pakistan. It was formed in 1992 and was registered by the National Industrial Relations Commission. The All Pakistan Federation of United Trade Unions has a membership of 652,723.","The All Pakistan Federation of United Trade Unions has 650,000 members.",Yes,No,Explicit,Different,"The All Pakistan Federation of United Trade Unions (APFUTU) is a national trade union centre in Pakistan. It was formed in 1992 and was registered by the National Industrial Relations Commission. The All Pakistan Federation of United Trade Unions has a membership of 652,723.
The All Pakistan Federation of United Trade Unions has 650,000 members.",Yes|No,All Pakistan Federation of United Trade Unions,https://en.wikipedia.org/wiki/All_Pakistan_Federation_of_United_Trade_Unions
248,How many member does the All Pakistan Federation of United Trade Unions have?,"The All Pakistan Federation of United Trade Unions (APFUTU) is a national trade union centre in Pakistan. It was formed in 1992 and was registered by the National Industrial Relations Commission. The All Pakistan Federation of United Trade Unions has a membership of 652,723.","The All Pakistan Federation of United Trade Unions has 650,000 members.","652,723","650,000",Explicit,Different,"The All Pakistan Federation of United Trade Unions (APFUTU) is a national trade union centre in Pakistan. It was formed in 1992 and was registered by the National Industrial Relations Commission. The All Pakistan Federation of United Trade Unions has a membership of 652,723.
The All Pakistan Federation of United Trade Unions has 650,000 members.","652,723|650,000",All Pakistan Federation of United Trade Unions,https://en.wikipedia.org/wiki/All_Pakistan_Federation_of_United_Trade_Unions
251,Does a type of alpha wave originate from the thalamus?,"A type of alpha wave activity is centered in the occipital lobe, although there has been speculation that it has a thalamic origin.","A type of alpha wave activity is centered in the occipital lobe, although there has been speculation that it has a thalamic origin.",No,Yes,Implicit (reasoning required),Same,"A type of alpha wave activity is centered in the occipital lobe, although there has been speculation that it has a thalamic origin.",No|Yes,Alpha wave,https://en.wikipedia.org/wiki/Alpha_wave
250,Where does a type of alpha wave originate from: occipital lobe or thalamus?,"A type of alpha wave activity is centered in the occipital lobe, although there has been speculation that it has a thalamic origin.","A type of alpha wave activity is centered in the occipital lobe, although there has been speculation that it has a thalamic origin.",occipital lobe,thalamus,Implicit (reasoning required),Same,"A type of alpha wave activity is centered in the occipital lobe, although there has been speculation that it has a thalamic origin.",occipital lobe|thalamus,Alpha wave,https://en.wikipedia.org/wiki/Alpha_wave
253,Is Angermünde 80 km far from Berlin?,"Angermünde is a town in the district of Uckermark in the state of Brandenburg, Germany. It is about 43 miles (69 km) northeast of Berlin, the capital of Germany.","Angermünde is located in the Uckermarck region, roughly 80 km north of Berlin.",No,Yes,Explicit,Different,"Angermünde is a town in the district of Uckermark in the state of Brandenburg, Germany. It is about 43 miles (69 km) northeast of Berlin, the capital of Germany.
Angermünde is located in the Uckermarck region, roughly 80 km north of Berlin.",No|Yes,Angermünde,https://en.wikipedia.org/wiki/Angermünde
252,How far is Angermünde from Berlin?,"Angermünde is a town in the district of Uckermark in the state of Brandenburg, Germany. It is about 43 miles (69 km) northeast of Berlin, the capital of Germany.","Angermünde is located in the Uckermarck region, roughly 80 km north of Berlin.",43 miles (69 km),80 km,Explicit,Different,"Angermünde is a town in the district of Uckermark in the state of Brandenburg, Germany. It is about 43 miles (69 km) northeast of Berlin, the capital of Germany.
Angermünde is located in the Uckermarck region, roughly 80 km north of Berlin.",43 miles (69 km)|80 km,Angermünde,https://en.wikipedia.org/wiki/Angermünde
